address,bathrooms,bedrooms,parking,landArea,price,primaryPropertyType,propertyFeatures,state,suburb,postcode
Highett VIC 3190,2,2,1,129,"$639,000",New Developments,"Courtyard, Outdoor Entertainment Area, Remote Garage, Secure Parking, Broadband Internet Available, Built-in Wardrobes, Dishwasher, Floorboards, Intercom, Pay TV Access, Air Conditioning, Split-System Air Conditioning, Split-System Heating, Solar Panels, Ensuite",VIC,Highett,3190
Highett VIC 3190,2,3,2,113,"$825,000 - $830,000",New Developments,"Balcony, Remote Garage, Secure Parking, Broadband Internet Available, Built-in Wardrobes, Dishwasher, Floorboards, Intercom, Pay TV Access, Air Conditioning, Split-System Air Conditioning, Split-System Heating, Solar Panels, Ensuite",VIC,Highett,3190
Highett VIC 3190,1,2,1,73,"$541,000",New Developments,"Balcony, Remote Garage, Secure Parking, Broadband Internet Available, Built-in Wardrobes, Dishwasher, Floorboards, Intercom, Pay TV Access, Air Conditioning, Split-System Air Conditioning, Split-System Heating, Solar Panels",VIC,Highett,3190
"9 Bratan Way, Truganina VIC 3029",0,0,0,350,"$370,000 - $ 390,000",Land,,VIC,Truganina,3029
Highett VIC 3190,2,2,2,86,"$643,000",New Developments,"Balcony, Remote Garage, Secure Parking, Broadband Internet Available, Built-in Wardrobes, Dishwasher, Floorboards, Intercom, Pay TV Access, Study, Air Conditioning, Split-System Air Conditioning, Split-System Heating, Solar Panels, Ensuite",VIC,Highett,3190
Highett VIC 3190,2,2,1,85,"$613,000",New Developments,"Balcony, Remote Garage, Secure Parking, Broadband Internet Available, Built-in Wardrobes, Dishwasher, Floorboards, Intercom, Pay TV Access, Air Conditioning, Split-System Air Conditioning, Split-System Heating, Solar Panels, Ensuite",VIC,Highett,3190
"52 Shandley Street, Wonthaggi VIC 3995",2,5,2,8093.71284,"$1,250,000",House,"Air Conditioning, Attic, Built In Robes, Built-in Robes, Fully Fenced, Living Areas, Open Fireplace, Remote Garage, Shed, Shed/Workshop, Water Tank, Workshop",VIC,Wonthaggi,3995
"8/280 Maroondah Highway, Ringwood VIC 3134",1,2,1,,,Apartment,"Secure parking, Air conditioning, Intercom, Built in wardrobes, Internal Laundry, Pets allowed, Gas, Heating, Dishwasher, Secure Parking",VIC,Ringwood,3134
"62 Thompson St, Avondale Heights VIC 3034",1,3,2,585,"$800,000 - $880,000",House,,VIC,Avondale Heights,3034
"1205/270 King Street, Melbourne VIC 3000",1,2,1,,"$455,000",Apartment,"Air conditioning, Built in wardrobes, City Views",VIC,Melbourne,3000
"181 Tamboon Road, Cann River VIC 3890",0,0,0,25794,"$265,000",Land,,VIC,Cann River,3890
"734 Monaro Highway, Noorinbee VIC 3890",0,0,0,14252,"$209,000",Land,,VIC,Noorinbee,3890
"1/51 Nursery Avenue, Frankston VIC 3199",1,2,2,343,"$520,000 - $560,000",Apartment,,VIC,Frankston,3199
"704/167 Gladstone Street, South Melbourne VIC 3205",2,2,1,,"$550,000 - $600,000",Apartment,,VIC,South Melbourne,3205
Truganina VIC 3029,0,0,0,404685.642,By Negotiation,Any,,VIC,Truganina,3029
Woorinen North VIC 3589,0,4,0,121405.6926,,Rural,"Pets allowed, Heating, Dishwasher, Shed, Fully fenced, Balcony / Deck, Garden / Courtyard",VIC,Woorinen North,3589
"16 Pavo Street, Belmont VIC 3216",1,3,2,676,,House,,VIC,Belmont,3216
"101/276 Neerim Road, Carnegie VIC 3163",2,2,1,,,Apartment,,VIC,Carnegie,3163
"519/199 William Street, Melbourne VIC 3000",1,2,0,,,Apartment,,VIC,Melbourne,3000
Koonoomoo VIC 3644,0,4,0,40468.5642,,Rural,,VIC,Koonoomoo,3644
Moe VIC 3825,0,0,0,700106.16066,,Any,,VIC,Moe,3825
"3/360 Doncaster Road, Balwyn North VIC 3104",2,3,2,1535,Contact Agent,House,,VIC,Balwyn North,3104
"22 Montrose Way, Cranbourne West VIC 3977",2,3,4,491,"$580,000 - $635,000",House,"Built in wardrobes, Balcony / Deck, Heating, Fully fenced, Air conditioning, Secure Parking, Workshop",VIC,Cranbourne West,3977
"80B Ardoyne Street, Black Rock VIC 3193",3,4,2,391,"$2,000,000-$2,200,000",Townhouse/Villa,,VIC,Black Rock,3193
Melbourne VIC 3004,2,3,2,108,"$1550,000",Apartment,"Remote Garage, Secure Parking, Swimming Pool - Above Ground, Swimming Pool - In Ground, Broadband Internet Available, Built-in Wardrobes, Dishwasher, Floorboards, Gym, Intercom, Pay TV Access, Air Conditioning, Reverse Cycle Air Conditioning, Solar Panels, Ensuite",VIC,Melbourne,3004
Melbourne VIC 3004,2,2,1,84,"$765,000",Apartment,"Remote Garage, Secure Parking, Swimming Pool - Above Ground, Swimming Pool - In Ground, Broadband Internet Available, Built-in Wardrobes, Dishwasher, Floorboards, Gym, Intercom, Pay TV Access, Air Conditioning, Reverse Cycle Air Conditioning, Solar Panels, Ensuite",VIC,Melbourne,3004
Kew VIC 3101,2,3,2,125,"$950,000 - $1000,000",Apartment,"Balcony, Remote Garage, Secure Parking, Broadband Internet Available, Built-in Wardrobes, Dishwasher, Floorboards, Gym, Intercom, Pay TV Access, Air Conditioning, Ducted Cooling, Ducted Heating, Solar Panels, Ensuite",VIC,Kew,3101
Kew VIC 3101,2,2,1,93,"$680,000 - $710,000",Apartment,"Balcony, Remote Garage, Secure Parking, Broadband Internet Available, Built-in Wardrobes, Dishwasher, Floorboards, Gym, Intercom, Pay TV Access, Air Conditioning, Ducted Cooling, Ducted Heating, Solar Panels, Ensuite",VIC,Kew,3101
"9/18 Wests Road, Maribyrnong VIC 3032",1,2,1,,"$510,000",Apartment,,VIC,Maribyrnong,3032
"6 Lomandra Court, Drouin VIC 3818",2,4,0,545,,House,,VIC,Drouin,3818
"37 Borva Drive, Keilor East VIC 3033",1,3,1,579,"$790,000 - $869,000",House,,VIC,Keilor East,3033
"Lot 214 Sheniz Ave, Fraser Rise VIC 3336",2,4,2,415,"$785,900",House,0,VIC,Fraser Rise,3336
"14 Portsmouth Crescent, Grovedale VIC 3216",1,3,2,615,"$580,000 - $630,000",House,"Rumpus Room, Built In Robes, Dishwasher, Open Fire Place, Bathtub, Gas Appliances, Ducted Heating, Split System Air Conditioning, Outdoor Entertainment Area, Balcony, Courtyard, Deck, Secure Parking, Shed, Workshop, Fully Fenced, City Views, Solar Panels",VIC,Grovedale,3216
"LOT 7016 Furlong Way, Aintree VIC 3336",2,4,2,313,"$645,967",House,"Ensuite, Built in wardrobes, Secure Parking",VIC,Aintree,3336
"LOT  2234 BURGESS ROAD, Tarneit VIC 3029",2,4,2,294,,House,Ensuite,VIC,Tarneit,3029
"Lot 317 Pear Parade, Fraser Rise VIC 3336",2,3,2,305,"$864,750",House,0,VIC,Fraser Rise,3336
"63 Oceanic Drive, Safety Beach VIC 3936",2,4,2,450,"$1,025,000 - $1,125,000",House,,VIC,Safety Beach,3936
