address,bathrooms,bedrooms,parking,landArea,price,primaryPropertyType,propertyFeatures,state,suburb,postcode
"CA 5 & 9 Church/McNabb Street, Newstead VIC 3462",0,0,0,,"$265,000 - $285,000",Land,,VIC,Newstead,3462
"217/416A St Kilda Road, Melbourne VIC 3004",2,3,2,,"EOI due on 5th July, $1,000,000 - $1,100,000",Apartment,"Tennis Court, Swimming Pool, Balcony / Deck, Gym",VIC,Melbourne,3004
"287 Lot 331 Cummins Street, Officer VIC 3809",2,4,2,439,"$850,000",House,"Ensuite, Built in wardrobes, Secure Parking",VIC,Officer,3809
"41 Grovedon Cct, Donnybrook VIC 3064",2,4,7,512,Don't Delay Call Today,House,,VIC,Donnybrook,3064
"7 Jacana Way, Armstrong Creek VIC 3217",2,3,2,315,"$550,000-$580,000",House,"Deck, Dishwasher, Air Conditioning, Ducted Heating, Split-System Air Conditioning, Split-System Heating, Solar Panels",VIC,Armstrong Creek,3217
"9 Walker Street, Benalla VIC 3672",2,3,2,722.67,"$493,000",House,Ensuite,VIC,Benalla,3672
"4 Sorrel Place, Dinner Plain VIC 3898",2,3,1,,"$1,075,000",House,,VIC,Dinner Plain,3898
"47 Ryder Street, Niddrie VIC 3042",2,4,1,,"Auction $1,200,000 - $1,250,000",House,"Swimming Pool, Pool (Above Ground), Tennis Court",VIC,Niddrie,3042
"51 Little Hoddle Street, Richmond VIC 3121",1,2,1,,"Auction $850,000 - $900,000",Apartment,,VIC,Richmond,3121
"15 Everton Crescent, Charlemont VIC 3217",2,3,2,,"$670,000 - $730,000",House,,VIC,Charlemont,3217
"28 Edward Street, Upper Ferntree Gully VIC 3156",2,3,1,1484,"Auction ($790,000 - $869,000)",House,,VIC,Upper Ferntree Gully,3156
"16 Pavo Street, Belmont VIC 3216",1,3,2,676,,House,,VIC,Belmont,3216
"101/276 Neerim Road, Carnegie VIC 3163",2,2,1,,,Apartment,,VIC,Carnegie,3163
"519/199 William Street, Melbourne VIC 3000",1,2,0,,,Apartment,,VIC,Melbourne,3000
"28 Edward Street, Upper Ferntree Gully VIC 3156",2,3,1,1484,"Auction ($790,000 - $869,000)",House,,VIC,Upper Ferntree Gully,3156
"256 Lot 324 Cummins Street, Officer VIC 3809",2,4,2,450,"$853,000",House,"Ensuite, Built in wardrobes, Secure Parking",VIC,Officer,3809
"7 Bright Street, Torquay VIC 3228",2,3,2,,"$850,000-$875,000",Townhouse/Villa,,VIC,Torquay,3228
"2 Calibre Lane, Safety Beach VIC 3936",2,3,2,158,"$1,375,000 - $1,475,000",House,,VIC,Safety Beach,3936
"45 Vigneron Avenue, Batesford VIC 3213",0,0,0,12000,"$1,079,000 - $1,149,000",Land,,VIC,Batesford,3213
"13 Black Avenue, Gisborne VIC 3437",2,4,2,724,"$985,000 - $1,070,000",House,,VIC,Gisborne,3437
"62 Castlecrag Way, Strathtulloh VIC 3338",3,4,2,,Call for Inspection !!,House,Ensuite,VIC,Strathtulloh,3338
"7 Frank Street, Newtown VIC 3220",3,4,2,959,Contact Agent,House,"Air conditioning, Built in wardrobes, Dishwasher, Floorboards, Swimming Pool, Ensuite",VIC,Newtown,3220
"3/20A Laburnum Street, Blackburn VIC 3130",1,2,1,81,"$660,000 - $720,000",Apartment,,VIC,Blackburn,3130
"4/647 Middleborough Road, Box Hill North VIC 3129",2,3,2,,Contact Agent,Townhouse/Villa,,VIC,Box Hill North,3129
"213 Bangholme Road, Bangholme VIC 3175",2,4,2,6636.8445288,,Any,"Air conditioning, Internal Laundry, Built in wardrobes, Bath, Separate Dining Room, Dishwasher, Secure Parking, Fully fenced, Garden / Courtyard",VIC,Bangholme,3175
"6/117 Reeve Street, Sale VIC 3850",1,2,1,157,"$310,000",Apartment,"Built in wardrobes, Heating, Seperate Toilet, Split System",VIC,Sale,3850
"27 Pavilion Street, Deanside VIC 3336",2,4,2,,"$689,000-$729,000",House,,VIC,Deanside,3336
"29 Orlando Drive, Roxburgh Park VIC 3064",2,3,2,224,Contact Agent,House,,VIC,Roxburgh Park,3064
"21 Woodruff Street, Kensington VIC 3031",1,1,1,,"$675,000 - $700,000",Townhouse/Villa,,VIC,Kensington,3031
"2A Brunet Street, Dandenong North VIC 3175",2,3,1,,"$680,000 - $740,000",House,,VIC,Dandenong North,3175
"12 Rockliffe Street, Eltham VIC 3095",2,5,2,904,$1.75m - $1.85m,House,,VIC,Eltham,3095
"8 Coulter Avenue, Hamilton VIC 3300",1,3,1,768,,House,,VIC,Hamilton,3300
"4 Cavendish Court, Endeavour Hills VIC 3802",1,3,3,572,"$640,000 - $700,000 AUCTION",House,,VIC,Endeavour Hills,3802
"51 Bradshaw Street, Essendon VIC 3040",2,4,4,483,"$2,565,000",House,,VIC,Essendon,3040
"16 Pavo Street, Belmont VIC 3216",1,3,2,676,,House,,VIC,Belmont,3216
"101/276 Neerim Road, Carnegie VIC 3163",2,2,1,,,Apartment,,VIC,Carnegie,3163
"519/199 William Street, Melbourne VIC 3000",1,2,0,,,Apartment,,VIC,Melbourne,3000
"239 Somerville Road, Yarraville VIC 3013",2,4,3,414,"$1,150,000 - $1,250,000",House,"Air Conditioning, Heating, Built-In Wardrobes, Close to Transport, Close to Shops, Close to Schools, Ensuite",VIC,Yarraville,3013
"602/17 Spring Street, Melbourne VIC 3000",2,2,1,,"$2,700,000",Apartment,"Air Conditioning, Built-In Wardrobes, Close to Schools, Ensuite, City Views, Dishwasher, Gym",VIC,Melbourne,3000
"56 Schilling Lane, Strathfieldsaye VIC 3551",2,4,2,8093.71284,"$1,050,000 - $1,150,000",House,"Dishwasher, Built-in Robes, Fireplace, Air-Conditioner, Secure Parking, Outdoor Entertainment",VIC,Strathfieldsaye,3551
"71-73 Ngarveno Street, Moonee Ponds VIC 3039",5,7,4,,Auction,House,"Floorboards, Built in wardrobes, Internal Laundry, Pets allowed, Gas, Bath, Fireplace(s), Gas, Dishwasher, Study, Secure Parking, Shed, Fully fenced, Garden / Courtyard",VIC,Moonee Ponds,3039
"8, 1 & 2/23 Carawatha Road, Doncaster VIC 3108",2,2,1,,Contact Agent for Price,Apartment,,VIC,Doncaster,3108
"66 School Road, Corop VIC 3559",1,3,4,3026,,House,,VIC,Corop,3559
"253 Lot 906 Stephens Road, Officer VIC 3809",2,4,2,392,"$840,000",House,Ensuite,VIC,Officer,3809
"6/834 Point Nepean Road, Rosebud VIC 3939",1,2,1,,"$490,000 - $530,000",Apartment,,VIC,Rosebud,3939
"11 Saxby Court, West Wodonga VIC 3690",2,3,2,736,Contact Agent,House,,VIC,West Wodonga,3690
"438 Arden Street, Kensington VIC 3031",1,2,1,,"$1,050,000 - $1,100,000",House,,VIC,Kensington,3031
"1/84 Leonard Avenue, St Albans VIC 3021",2,3,2,,Contact Agent,Apartment,"Built-In Wardrobes, Close to Transport, Close to Shops, Close to Schools",VIC,St Albans,3021
"7/102 Millswyn Street, South Yarra VIC 3141",1,1,1,,Contact Agent,Apartment,,VIC,South Yarra,3141
"13 Lakeview Avenue, Williamstown VIC 3016",3,3,2,,"$1,100,000 - $1,180,000",Townhouse/Villa,,VIC,Williamstown,3016
"126 Latham Road, Echuca VIC 3564",0,0,0,8500,"$550,000",Land,,VIC,Echuca,3564
"43 Windella Crescent, Glen Waverley VIC 3150",5,5,2,646,Contact Agent,House,,VIC,Glen Waverley,3150
"13 Mahon Road, Epping VIC 3076",1,2,1,132,"AUCTION ESR $430,000 to $465,000",House,"Heating, Built-In Wardrobes, Close to Transport, Close to Shops, Close to Schools, Carpeted, Outdoor Entertaining Area",VIC,Epping,3076
"6-8 Yarrock Street, Kaniva VIC 3419",1,3,1,1876,"$189,000",House,"Shed, Air Conditioning, Split-System Air Conditioning, Split-System Heating, Water Tank",VIC,Kaniva,3419
"1B Thoroughbred Drive, Clyde North VIC 3978",3,4,2,211,"$599,000-$649,000",House,"Ensuite, Dishwasher, Built-in Robes, Secure Parking, Outdoor Entertainment",VIC,Clyde North,3978
"220 Lot 911 Stephens Road, Officer VIC 3809",2,4,2,350,"$772,000",House,"Ensuite, Built in wardrobes, Secure Parking, BRAND NEW DESIGN HOT OFF THE PRESS!",VIC,Officer,3809
"4 Carisbrooke Court, Cowes VIC 3922",1,3,1,697,"$949,000 - $999,000",House,,VIC,Cowes,3922
"16 Pavo Street, Belmont VIC 3216",1,3,2,676,,House,,VIC,Belmont,3216
"101/276 Neerim Road, Carnegie VIC 3163",2,2,1,,,Apartment,,VIC,Carnegie,3163
"519/199 William Street, Melbourne VIC 3000",1,2,0,,,Apartment,,VIC,Melbourne,3000
"28 David Street, Horsham VIC 3400",2,5,0,,,House,,VIC,Horsham,3400
"1702/152 Sturt Street, Southbank VIC 3006",1,1,1,,"$488,000 - $528,000",Apartment,"Secure Parking, Swimming Pool, Air conditioning, Balcony / Deck, Built in wardrobes, Dishwasher, Floorboards, Gym, Intercom, Study",VIC,Southbank,3006
"16 San Pietro Way, Greenvale VIC 3059",2,4,2,478,On Site Auction,House,,VIC,Greenvale,3059
"28 Silverwattle Drive, Invermay VIC 3352",3,5,8,19600,"$2,250,000 - $2,350,000",House,,VIC,Invermay,3352
"2/1011 Lydiard Street North, Ballarat North VIC 3350",2,3,2,142,"$749,950",Townhouse/Villa,,VIC,Ballarat North,3350
"22 Serenade Street, Donnybrook VIC 3064",2,3,1,,"Private Sale - $590,000 - $630,000",House,,VIC,Donnybrook,3064
"806 Pound Road West, Alberton West VIC 3971",2,4,3,655590.74004,"$1,600,000",Rural,"Air Conditioning, Built-In Wardrobes, Ensuite, Car Parking - Surface, Carpeted, Broadband Internet Available",VIC,Alberton West,3971
"36 Buttners Saddle Road, Carrajung Lower VIC 3844",2,4,2,159850.82859,"$885,000",House,,VIC,Carrajung Lower,3844
"179 Lower Jack Road, Jack River VIC 3971",2,5,2,983386.11006,"$2,900,000",Rural,,VIC,Jack River,3971
"Wests Road, Alberton West VIC 3971",0,0,0,412779.35484,"$730,000",Rural,,VIC,Alberton West,3971
"5/67 Shelley Street, Elwood VIC 3184",1,3,1,,"$1,000,000 - $1,100,000",Apartment,"Heating, Built-In Wardrobes, Close to Transport, Close to Shops, Close to Schools, Secure Parking, Dishwasher",VIC,Elwood,3184
"1/60 St Helena Road, Greensborough VIC 3088",2,3,2,162,"$950,000 - $1.02m",Townhouse/Villa,,VIC,Greensborough,3088
"8 Geoffrey Street, Myrtleford VIC 3737",1,3,2,962,"$598,000",House,"Air conditioning, Floorboards, Built in wardrobes, Fireplace(s), Separate Dining Room",VIC,Myrtleford,3737
"25 Ottawa Avenue, Wyndham Vale VIC 3024",0,0,0,323,"PRIVATE SALE $330,000 - $350,000",Land,,VIC,Wyndham Vale,3024
"7 Birchgrove Street, Ocean Grove VIC 3226",2,4,2,546,"$870,000 - $930,000",House,,VIC,Ocean Grove,3226
"9B Faulkner Court, Eastwood VIC 3875",2,3,2,409,"$529,000",House,,VIC,Eastwood,3875
"1/22 Marine Avenue, Mornington VIC 3931",1,2,1,111,"$590,000 - $640,000",Townhouse/Villa,,VIC,Mornington,3931
"2/1 Mather Road, Noble Park VIC 3174",2,3,2,267,"$660,000 - $726,000",House,,VIC,Noble Park,3174
"1815/135 A’beckett Street, Melbourne VIC 3000",1,2,0,,Contact Agent,Apartment,"Smokers, Air conditioning, Gym, Balcony / Deck, Dishwasher, Swimming Pool, Floorboards",VIC,Melbourne,3000
"7 Hearn Street, Drouin VIC 3818",1,3,2,589,"$460,000 - $490,000",House,,VIC,Drouin,3818
"16 Pavo Street, Belmont VIC 3216",1,3,2,676,,House,,VIC,Belmont,3216
"101/276 Neerim Road, Carnegie VIC 3163",2,2,1,,,Apartment,,VIC,Carnegie,3163
"519/199 William Street, Melbourne VIC 3000",1,2,0,,,Apartment,,VIC,Melbourne,3000
"3 Marlock Close, Thomastown VIC 3074",1,3,9,770,Auction Saturday 13th July at 10:30am,House,,VIC,Thomastown,3074
"9 Olivia Court, Numurkah VIC 3636",2,3,2,859,"$575,000 - $595,000",House,"Study, Ensuite, Laundry",VIC,Numurkah,3636
"30 Foulkes Crescent, Clunes VIC 3370",1,4,2,9125,"$500,000 - $535,000",House,"Built in wardrobes, Air conditioning, Balcony / Deck, Split System Air Con, Split System Heating, Reverse Cycle Air Con",VIC,Clunes,3370
"3/147 Northumberland Road, Pascoe Vale VIC 3044",1,2,1,,"Auction | $500,000 - $540,000",House,,VIC,Pascoe Vale,3044
"55 Coltan Avenue, Cobblebank VIC 3338",2,4,2,350,"$620,000 - $660,000",House,"Built-In Wardrobes, Ensuite",VIC,Cobblebank,3338
"6A Houston Street, Stawell VIC 3380",2,3,2,540,"From $527,161",House,"Alfresco, Dining, Ensuite, Family, Laundry, Pantry, Porch, Private Master Bedroom, Study, Walk-in Robe, G.J. Gardner Homes ""Express"" Inclusions Range, Freestanding Bath & Tiled Shower Niches Included, Double Glazed Windows & Heating & Cooling  & Ceiling Fans Included, Westinghouse Electric Appliances & Dishwasher Included, Carpet, Tiles to Wet Areas & Timber Look Vinyl Plank to The Home, Concrete Driveway, Clothesline, Letterbox and Much More!",VIC,Stawell,3380
"3/3 Olley Way, Mornington VIC 3931",2,3,2,,"$780,000 - $840,000",Apartment,,VIC,Mornington,3931
"1015 Mitchell Road, Kialla East VIC 3631",1,4,2,7995,"$699,000",House,,VIC,Kialla East,3631
Aintree VIC 3336,2,4,2,,Contact Veerpal on 0425 194 470,House,Ensuite,VIC,Aintree,3336
"Lot 1 Licola Road, Heyfield VIC 3858",0,0,0,68796.55914,"$449,000",Land,,VIC,Heyfield,3858
"62 Glamorgan Crescent, Mount Martha VIC 3934",2,3,2,990,"$1,695,000-$1,850,000",House,"Air Conditioning, Heating, Built-In Wardrobes, Close to Transport, Close to Shops, Intercom, Close to Schools, Water Views, City Views, Ocean Views, Openable Windows, Window Treatments, Study",VIC,Mount Martha,3934
"9 Wallaga Road, Truganina VIC 3029",0,0,0,400,Contact Arman Sidhu on 0409 656 361,Land,,VIC,Truganina,3029
"3/13 Tennyson Street, Highett VIC 3190",2,3,2,,"Forthcoming Auction: $930,000 - $990,000",Townhouse/Villa,,VIC,Highett,3190
"26 Verbena Avenue, The Basin VIC 3154",4,5,3,1009,"AUCTION $990,000 - $1,080,000",House,,VIC,The Basin,3154
"11 Mchaffie Drive, Cowes VIC 3922",1,4,1,613,"$850,000",House,"Air Conditioning, Built-In Wardrobes",VIC,Cowes,3922
"Lot 35 Laydons Road, Rhymney VIC 3377",0,0,0,81746.499684,"$199,000 - $218,000",Any,,VIC,Rhymney,3377
"6/168 Victoria Avenue, Albert Park VIC 3206",1,2,0,,"$675,000 - $725,000",Apartment,Study,VIC,Albert Park,3206
"Wests Road, Alberton West VIC 3971",0,0,0,412779.35484,"$730,000",Rural,,VIC,Alberton West,3971
"1,2,4, 106 Knights Park Crescent, Bannockburn VIC 3331",0,0,0,4000,"Prices From $595,000",Land,,VIC,Bannockburn,3331
"16 Pavo Street, Belmont VIC 3216",1,3,2,676,,House,,VIC,Belmont,3216
"101/276 Neerim Road, Carnegie VIC 3163",2,2,1,,,Apartment,,VIC,Carnegie,3163
"519/199 William Street, Melbourne VIC 3000",1,2,0,,,Apartment,,VIC,Melbourne,3000
"11 Ambrosia Way, Point Cook VIC 3030",2,4,2,492,"$990,000 - $1,089,000",House,,VIC,Point Cook,3030
"1210/270 King St, Melbourne VIC 3000",1,2,0,,"$370,000 - $400,000",Apartment,,VIC,Melbourne,3000
"18 Mirboo Court, Dallas VIC 3047",1,3,2,619,"$480,000 - $520,000",House,,VIC,Dallas,3047
"4/156 Carlisle Street, St Kilda VIC 3182",1,2,0,,"$635,000 - $685,000",Apartment,,VIC,St Kilda,3182
Wollert VIC 3750,0,0,0,464,Price on Application,Land,,VIC,Wollert,3750
"18 Albida Street, Donnybrook VIC 3064",4,4,2,,Price on Application,House,,VIC,Donnybrook,3064
"5/10 Reilly Avenue, Benalla VIC 3672",1,2,1,79.8,"$240,000",Apartment,"Air conditioning, Built in wardrobes",VIC,Benalla,3672
"2/1891 Mount Macedon Road, Woodend VIC 3442",1,2,1,,"$445,000 - $475,000",Apartment,,VIC,Woodend,3442
"7 Durnstan Court, Wheelers Hill VIC 3150",1,4,4,669,AUCTION,House,,VIC,Wheelers Hill,3150
"29 School Road, Springhurst VIC 3682",1,3,2,3304,"$425,000",House,Fully fenced,VIC,Springhurst,3682
"G01/82 Walpole Street, Kew VIC 3101",3,4,3,,"$2,800,000 to $3,000,000",Apartment,,VIC,Kew,3101
"14 Stroma Avenue, Balwyn North VIC 3104",2,4,2,724,"$1,800,000 - $1,980,000",House,,VIC,Balwyn North,3104
"62 Central Road, Clifton Springs VIC 3222",1,3,3,586,"$640,000 - $690,000",House,"Close to Schools, Close to Shops, Close to Transport, Fireplace, First Home Buyer, Fully fenced, Garden",VIC,Clifton Springs,3222
"143 Princes Highway, Trafalgar VIC 3824",2,4,4,685,$580 000 - $620 000,House,"Air Conditioning, Heating, Area Views, Built-In Wardrobes, Close to Transport, Close to Shops, Open Fire Place, Close to Schools, Ensuite, Carpeted, High Clearance, Openable Windows, Toilet Facilities",VIC,Trafalgar,3824
"172 Officers Lane, Koroit VIC 3282",2,4,2,10100,"Expression of Interest - EPR $980,000-$1,005,000",Any,"Deck, Fully Fenced, Secure Parking, Shed, Broadband Internet Available, Built-in Wardrobes, Dishwasher, Floorboards, Pay TV Access, Workshop, Open Fireplace, Split-System Air Conditioning, Split-System Heating, Solar Panels, Water Tank, Ensuite",VIC,Koroit,3282
"205/394-398 Middleborough Road, Blackburn VIC 3130",1,1,1,,"$300,000 - $330,000",Apartment,,VIC,Blackburn,3130
"1/44 Adelaide Street, Footscray VIC 3011",1,3,1,,Contact Agent,Townhouse/Villa,,VIC,Footscray,3011
"307/9 Morton Avenue, Carnegie VIC 3163",1,2,1,,AUCTION,Apartment,,VIC,Carnegie,3163
"23 Elsvern Avenue, Belmont VIC 3216",2,4,1,,Contact Agent,House,,VIC,Belmont,3216
"38 Laurimar Boulevard, Doreen VIC 3754",2,3,2,400,"ESR: $630,000 - $680,000",House,,VIC,Doreen,3754
"16 Pavo Street, Belmont VIC 3216",1,3,2,676,,House,,VIC,Belmont,3216
"101/276 Neerim Road, Carnegie VIC 3163",2,2,1,,,Apartment,,VIC,Carnegie,3163
"519/199 William Street, Melbourne VIC 3000",1,2,0,,,Apartment,,VIC,Melbourne,3000
"1401/368 St Kilda Road, Melbourne VIC 3004",2,3,3,,Expressions of Interest,Apartment,Study,VIC,Melbourne,3004
"2/33 New Street, Dandenong VIC 3175",2,3,2,,"$600,000 - $650,000",Townhouse/Villa,,VIC,Dandenong,3175
"2309/105 Batman Street, West Melbourne VIC 3003",1,2,1,,"$525,000 - $550,000",Apartment,"Air conditioning, Balcony / Deck, Built in wardrobes, Dishwasher, Gym, Intercom, Swimming Pool, Secure Parking, Heating",VIC,West Melbourne,3003
Beaconsfield VIC 3807,2,4,2,472,"$757,000",House,"Remote Garage, Secure Parking, Broadband Internet Available, Built-in Wardrobes, Dishwasher, Floorboards, Air Conditioning, Ducted Heating, Split-System Air Conditioning, Grey Water System, Solar Hot Water, Solar Panels",VIC,Beaconsfield,3807
"40 Morand Street, Gisborne VIC 3437",2,4,2,1820,"$1,300,000 - $1,400,000",House,,VIC,Gisborne,3437
"32 Mulgutherie Way, Gisborne VIC 3437",2,4,2,1100,"$1,350,000 - $1,450,000",House,Study,VIC,Gisborne,3437
"48 Mount Street, Altona VIC 3018",1,4,5,767,"$1,500,000 - $1,600,000",House,"Air Conditioning, Heating, Built-In Wardrobes, Close to Transport, Close to Shops, Close to Schools",VIC,Altona,3018
Beaconsfield VIC 3807,2,3,1,278,"$655,000",House,"Remote Garage, Secure Parking, Broadband Internet Available, Built-in Wardrobes, Dishwasher, Floorboards, Air Conditioning, Ducted Heating, Split-System Air Conditioning, Grey Water System, Solar Hot Water, Solar Panels",VIC,Beaconsfield,3807
"141 Glen Avon Drive, Bannockburn VIC 3331",2,4,8,6000,"$1,280,000 - $1,360,000",House,"Air Conditioning, Heating, Area Views, Built-In Wardrobes, Close to Shops, Pool, Close to Schools, Ensuite, Study",VIC,Bannockburn,3331
"17 Strathtulloh Circuit, Strathtulloh VIC 3338",2,5,0,121405.6926,CONTACT AGENT,Any,,VIC,Strathtulloh,3338
"359 Wellington Street, Clifton Hill VIC 3068",1,2,1,,"Auction $960,000 - $1,050,000",House,,VIC,Clifton Hill,3068
"23a Centreway, St Leonards VIC 3223",2,3,2,,"$650,000",Apartment,"Built in wardrobes, Dishwasher, Fully fenced, Remote Garage, Air conditioning, Heating, Rainwater storage tank",VIC,St Leonards,3223
Wyndham Vale VIC 3024,2,3,1,294,Contact Agent,House,"Remote Garage, Secure Parking, Broadband Internet Available, Built-in Wardrobes, Dishwasher, Floorboards, Air Conditioning, Ducted Heating, Split-System Air Conditioning, Grey Water System, Solar Hot Water, Solar Panels",VIC,Wyndham Vale,3024
"4/84 Roberts Street, West Footscray VIC 3012",1,3,1,,"$700,000 - $750,000",Townhouse/Villa,,VIC,West Footscray,3012
"12 Chaffey Court, St Leonards VIC 3223",2,3,2,676,"$700,000-$750,000",House,,VIC,St Leonards,3223
"1123 Hawkers Road, Waaia VIC 3637",1,4,2,20234.2821,"$620,000 - $640,000",Rural,,VIC,Waaia,3637
Truganina VIC 3029,2,3,2,350,Contact Agent,House,"Remote Garage, Secure Parking, Broadband Internet Available, Built-in Wardrobes, Dishwasher, Floorboards, Air Conditioning, Ducted Heating, Split-System Air Conditioning, Grey Water System, Solar Hot Water, Solar Panels",VIC,Truganina,3029
"8 Cowwarr Crescent, Wollert VIC 3750",2,4,2,366,770000,House,,VIC,Wollert,3750
"9/35 Wickham Street, Melton South VIC 3338",1,2,1,,,Apartment,,VIC,Melton South,3338
"282 Stephens Road, Officer VIC 3809",2,4,2,448,"$877,000",House,Ensuite,VIC,Officer,3809
"16 Pavo Street, Belmont VIC 3216",1,3,2,676,,House,,VIC,Belmont,3216
"101/276 Neerim Road, Carnegie VIC 3163",2,2,1,,,Apartment,,VIC,Carnegie,3163
"519/199 William Street, Melbourne VIC 3000",1,2,0,,,Apartment,,VIC,Melbourne,3000
"5 Banya Street, Campbells Creek VIC 3451",0,0,0,905,"$289,000",Land,,VIC,Campbells Creek,3451
Craigieburn VIC 3064,2,3,2,313,Contact Agent,House,"Remote Garage, Secure Parking, Broadband Internet Available, Built-in Wardrobes, Dishwasher, Floorboards, Air Conditioning, Ducted Heating, Split-System Air Conditioning, Grey Water System, Solar Hot Water, Solar Panels",VIC,Craigieburn,3064
Craigieburn VIC 3064,2,3,2,350,Contact Agent,House,"Remote Garage, Secure Parking, Broadband Internet Available, Built-in Wardrobes, Dishwasher, Floorboards, Air Conditioning, Ducted Heating, Split-System Air Conditioning, Grey Water System, Solar Hot Water, Solar Panels",VIC,Craigieburn,3064
"1/52 Harper Street, Wangaratta VIC 3677",1,2,1,312,"$369,000",Apartment,,VIC,Wangaratta,3677
"210 Mccraws Road, Nar Nar Goon VIC 3812",0,0,0,619169.03226,Contact Agent,Land,,VIC,Nar Nar Goon,3812
"5 Mulqueeney Street, Wodonga VIC 3690",1,3,1,797,"Offers $475,000 - $510,000 closing 5pm July 9th",House,Central,VIC,Wodonga,3690
"3/7 Clarendon Parade, West Footscray VIC 3012",1,3,1,,"$645,000 - $675,000",Apartment,,VIC,West Footscray,3012
"9 Barwon Street, Clyde North VIC 3978",2,4,2,512,"$790,000 to $850,000",House,,VIC,Clyde North,3978
Wyndham Vale VIC 3024,2,3,1,178,"$511,000",House,"Remote Garage, Secure Parking, Broadband Internet Available, Built-in Wardrobes, Dishwasher, Floorboards, Air Conditioning, Ducted Heating, Split-System Air Conditioning, Grey Water System, Solar Hot Water, Solar Panels",VIC,Wyndham Vale,3024
"4709/568 Collins Street, Melbourne VIC 3000",1,1,0,,"$330,000 to $350,000",Apartment,,VIC,Melbourne,3000
"5/112 Jukes Road, Fawkner VIC 3060",2,2,1,,Auction on Sat. 13th July at 2.00pm,Townhouse/Villa,,VIC,Fawkner,3060
"2904/560 Lonsdale Street, Melbourne VIC 3000",2,2,1,,"$760,000 - $790,000",Apartment,"Secure Parking, Swimming Pool, Air conditioning, Alarm System, Balcony / Deck, Broadband internet access, Built in wardrobes, Dishwasher, Gym, Intercom, Pay TV, Study",VIC,Melbourne,3000
"17/116 Drummond Street, Carlton VIC 3053",1,2,1,,"$650,000 - $715,000",Apartment,"Built-In Wardrobes, Intercom, Dishwasher",VIC,Carlton,3053
"20 Veronica Crescent, Deanside VIC 3336",0,0,0,364,Contact Agent,Land,,VIC,Deanside,3336
"23 Irving Road, Pakenham VIC 3810",2,4,2,607,"$690,000 - $740,000",House,,VIC,Pakenham,3810
"1/18 Black Street, Brighton VIC 3186",3,3,2,,THE DEAL: Expressions of Interest,Apartment,,VIC,Brighton,3186
"504/2 Glenti Place, Docklands VIC 3008",2,2,1,,"$795,000 - $850,000",Apartment,"Gym, Ducted Heating, Ducted Cooling, Intercom, Swimming Pool, Secure Parking, Balcony",VIC,Docklands,3008
"80 Settlers Way, Sunbury VIC 3429",4,5,6,11500,"EOI - $2,700,000 - $2,900,000",House,,VIC,Sunbury,3429
"15 Finsbury Crescent, Manor Lakes VIC 3024",2,4,2,512,Contact Agent,House,,VIC,Manor Lakes,3024
"17 Cradle Avenue, Clyde VIC 3978",2,3,1,,"$620,000 - $680,000",House,,VIC,Clyde,3978
"16 Pavo Street, Belmont VIC 3216",1,3,2,676,,House,,VIC,Belmont,3216
"101/276 Neerim Road, Carnegie VIC 3163",2,2,1,,,Apartment,,VIC,Carnegie,3163
"519/199 William Street, Melbourne VIC 3000",1,2,0,,,Apartment,,VIC,Melbourne,3000
"6 Bevan Court, Point Cook VIC 3030",2,4,2,448,"$790,000 - $840,000",House,,VIC,Point Cook,3030
"17 Barnsbury Road, Wyndham Vale VIC 3024",2,4,2,392,Contact Agent,House,"Built-In Wardrobes, Close to Transport, Close to Shops, Close to Schools, Ensuite, Car Parking - Surface, Dishwasher",VIC,Wyndham Vale,3024
"7 Manet Avenue, Grovedale VIC 3216",2,5,2,700,"$880,000 - $920,000",House,"Outdoor Entertainment Area, Broadband Internet Available, Built-in Wardrobes, Dishwasher, Floorboards, Rumpus Room, Study, Open Fireplace, Split-System Air Conditioning, Split-System Heating, Ensuite",VIC,Grovedale,3216
"1 Murray Court (Enter via Emma Street), Carrum VIC 3197",1,2,1,,,Apartment,"Air conditioning, Floorboards, Built in wardrobes, Internal Laundry, Bath, Separate Dining Room, Heating, Dishwasher, Secure Parking, Fully fenced, Garden / Courtyard",VIC,Carrum,3197
"30 Kavanagh Street, Southbank VIC 3006",1,1,0,,"$290,000 - $315,000",Apartment,"Built-in Robes, Gym, Intercom, Swimming Pool",VIC,Southbank,3006
"24 Lincoln Crescent, Echuca VIC 3564",2,4,2,,"$670,000 - $720,000",House,Ensuite,VIC,Echuca,3564
"68 Astley Wynd, Lynbrook VIC 3975",2,4,2,616,"$830,000 - $880,000",House,"Air Conditioning, Built-In Wardrobes, Close to Shops, Close to Schools, Ensuite, Close to transport, Study",VIC,Lynbrook,3975
"3 Myrtle Court, Torquay VIC 3228",2,3,2,439,"$950,000",House,,VIC,Torquay,3228
"260 Lot 712 Hansel Avenue, Officer VIC 3809",2,4,2,448,"$866,000",House,"Ensuite, Built in wardrobes, Secure Parking",VIC,Officer,3809
"5 Wind Ave, South Morang VIC 3752",2,3,1,168,"$629,000 New Release New Home Ready July",Townhouse/Villa,"Ensuite(s), Secure parking, Air conditioning, Ensuite, Floorboards, Built in wardrobes, Internal Laundry, Broadband internet access, Bath, Heating, Energy efficient appliances, Gas, Secure Parking, Fully fenced, Garden / Courtyard",VIC,South Morang,3752
"9 Dianne Court, Lalor VIC 3075",1,3,2,,Price on Application,House,,VIC,Lalor,3075
